タイトル,話の概要,シチュエーション,学べるPM知識／用語
「長期視点の確保」,短期的成果に偏重するプロジェクト文化。PMの松浦が持続可能性評価モデルを導入し、短期・中期・長期の各視点でバランスの取れたプロジェクト評価を実施。目先の成果と将来価値のバランスが取れた意思決定が可能になり、持続的な成功につながる。,短期的な成果や数字だけを重視し、長期的な価値や持続可能性が犠牲になる状況,持続可能性評価モデル
「意識のブラインドスポット」,自分たちの弱点に気づけないチーム。PMの杉本がジョハリの窓を活用したフィードバックセッションを導入し、自己認識と他者認識の差異を明らかにする。盲点が減少し、自己認識の精度が向上することで継続的な成長が可能になる。,自分たちでは気づかない問題や弱点があり、改善の機会を逃している状況,ジョハリの窓
「制約の特定と活用」,様々なボトルネックに悩まされるプロジェクト。PMの森田が制約理論を学び、システム全体のパフォーマンスを決定する主要制約に焦点を当てるアプローチを実践。リソースの最適配分が実現し、全体最適化がもたらされる。,複数の問題に分散して対応し、真のボトルネックが解消されないまま部分最適化に終始する状況,制約理論（TOC）
「失敗からの再起」,重大な失敗後のチーム再建に取り組むPMの浜田。レジリエンスビルディング手法を導入し、失敗の消化・教訓化・再出発のプロセスを設計。挫折からの学びと成長が促進され、より強靭なチームへと変貌を遂げる。,プロジェクトの大きな失敗や挫折後、チームの士気や信頼関係が崩壊している状況,レジリエンスビルディング
「複数視点の統合」,一面的な見方に基づく意思決定の限界。PMの小松が複眼思考フレームワークを導入し、同じ状況を多角的な視点から検討するアプローチを確立。より包括的な理解に基づく判断が可能になり、盲点や偏りが減少する。,特定の視点や観点だけから物事を判断し、重要な側面を見落としてしまう状況,複眼思考フレームワーク
「対話の設計」,形式的で建設的でない会議に問題意識を持つPMの秋山。ダイアログデザイン手法を導入し、真の対話と集合知を引き出す場のデザインを実践。相互理解が深まり、創造的な問題解決が可能になる会議文化が醸成される。,一方通行のプレゼンや形式的な議論に終始し、真の対話や集合知の創出がない会議,ダイアログデザイン手法
「完璧主義の落とし穴」,完璧を求めるあまり前に進まないプロジェクト。PMの古川が「グッドイナフ」原則を導入し、完璧と十分の違いを明確化。過剰な作り込みが排除され、価値提供のスピードと効率が向上する。,完璧を求めすぎるあまり、過剰品質となったり納期が遅れたりする状況,グッドイナフ原則
「フィードバックの黄金律」,批判ばかりのフィードバックでチームが萎縮するプロジェクト。PMの石田がSBIフィードバック手法を導入し「状況・行動・影響」の構造でポジティブにもネガティブにも客観的なフィードバックを行う方法を確立。改善が促進され、チームの成長につながる。,フィードバックが抽象的な批判や褒め言葉に終始し、具体的な改善につながらない状況,SBIフィードバック手法
「境界のない責任」,「誰がやるべきか」が曖昧で進まない組織間プロジェクト。PMの黒木がバウンダリースパナーの役割を確立し、組織の境界を越えたコミュニケーションと調整を担当。部門間の溝が埋まり、スムーズな協働が実現する。,複数の部署や組織が関わるプロジェクトで、責任の境界が曖昧になり連携がうまくいかない状況,バウンダリースパナー
「可視化の力」,「進捗が見えない」と不安を抱える関係者。PMの三上が情報放射器の概念を導入し、プロジェクト状況を常に可視化して共有する環境を整備。透明性が高まり、関係者の信頼と安心感が醸成される。,プロジェクトの状態が見えず、関係者が不安を感じたり過度な報告を求めたりする状況,情報放射器
「標準と例外」,例外的な状況への対応に振り回されるプロジェクト運営。PMの藤本がエクセプションマネジメントフレームワークを導入し、標準プロセスと例外対応の明確な区別と判断基準を確立。効率的な運営と柔軟な対応の両立が可能になる。,例外対応の連続で標準プロセスが形骸化し、効率と一貫性が失われている状況,エクセプションマネジメント
「学習の循環」,一過性の成功が組織的な強みにならないプロジェクト文化。PMの井口がアフターアクションレビューを制度化し、アクション・結果・学び・次のアクションのサイクルを確立。継続的な組織学習が実現し、成熟度が向上する。,プロジェクト完了後に振り返りが行われず、成功要因や失敗の教訓が次に活かされない状況,アフターアクションレビュー
「隠れた才能の発掘」,表面的な役割だけでは活かしきれない多様なチーム。PMの大村がストレングスファインダーアプローチを採用し、各メンバーの強みを特定して活かす配置と役割設計を実施。個々の才能が開花し、チーム全体の創造性と生産性が向上する。,メンバーの表面的なスキルや経験だけで役割を決め、潜在的な強みや才能が活かされない状況,ストレングスベースドアプローチ
「柔軟な計画術」,予測不能な状況での計画に苦戦するPMの岡本。アダプティブプランニングを学び、固定的な詳細計画から柔軟な枠組みと迅速な適応へとアプローチを転換。不確実性の高い環境でも効果的なプロジェクト運営が可能になる。,環境変化が激しく、詳細な長期計画がすぐに役立たなくなってしまう状況,アダプティブプランニング
「思考の制約を外す」,常に同じような解決策しか出てこないチーム会議。PMの相馬がラテラルシンキング手法を導入し、定型的思考パターンから脱却するための思考ツールを提供。斬新なアイデアが生まれるようになり、革新的な解決策が可能になる。,従来の枠組みや思考パターンに縛られ、革新的なアイデアが生まれにくい状況,ラテラルシンキング
「約束の重み」,曖昧な合意に基づくコミットメントが次々と破られるプロジェクト。PMの水島がSMARTコミットメント原則を導入し、具体的・測定可能・達成可能・関連性・期限付きの明確なコミットメントを徹底。責任感が醸成され、約束の履行率が向上する。,あいまいな合意や口約束が多く、実際の行動や成果につながらない状況,SMARTコミットメント原則
「反復の中の創造」,アイデアの質に満足できないイノベーションプロジェクト。PMの岩田がデザインスプリントを導入し、短期集中の反復的な創造と検証のサイクルを確立。試行錯誤の速度が上がり、質の高い革新的解決策が生まれるようになる。,アイデア出しや設計に時間をかけすぎて、実際の検証やフィードバックが遅れる状況,デザインスプリント
「一貫性の確保」,各メンバーが異なる方法でプロジェクトを進め混乱するチーム。PMの北川がプロジェクトプレイブックを作成し、共通の進め方とベストプラクティスを文書化。一貫性のある品質とアプローチが実現し、効率と予測可能性が向上する。,同じようなプロジェクトでも担当者によってアプローチがバラバラで、品質や効率にムラがある状況,プロジェクトプレイブック
「問題の見極め」,解決策に飛びつきすぎて本質を見失うプロジェクト。PMの筒井が問題定義ワークショップを導入し、解決策検討前に問題の本質と境界を明確化するプロセスを確立。的確な問題設定が可能になり、本質的な解決につながるようになる。,問題の本質を十分に理解せずに解決策の検討に入り、表面的な対処に終始してしまう状況,問題定義フレームワーク
「責任感の醸成」,「自分の仕事」以外に関心を示さないチームメンバー。PMの小池がチームアカウンタビリティモデルを導入し、個人の責任だけでなくチーム全体の成功に対する共同責任の文化を構築。協力的な問題解決が促進され、全体最適な行動が増加する。,自分の担当範囲だけを考え、全体の目標や他のメンバーの困難に無関心な状況,チームアカウンタビリティ
「創造の触媒」,アイデアを実現するための行動に移せないチーム。PMの西山がアクションカタリストの役割を確立し、アイデアから実行へのハードルを下げる支援と仕組みを整備。創造的なアイデアが具体的な成果につながる確率が向上する。,良いアイデアが出ても実行に移す際の障壁が高く、机上の空論で終わってしまう状況,アクションカタリスト
「視点の多様性」,同質的な考え方に陥りがちなチーム。PMの永田が認知的多様性の原則を導入し、意図的に異なる思考スタイルや視点を持つメンバーの参画を促進。複雑な問題に対する解決能力が向上し、盲点が減少する。,似たような経験や思考パターンを持つメンバーばかりで、視点の多様性が不足している状況,認知的多様性
「スキルの共有市場」,特定の専門知識を持つ人に負荷が集中するプロジェクト。PMの松尾がスキルシェアリングプログラムを確立し、専門知識の共有と相互学習の場を創出。知識の偏在が緩和され、チーム全体のレジリエンスと柔軟性が向上する。,特定のスキルや知識を持つ人に依存度が高く、その人の不在や負荷過多がボトルネックになる状況,スキルシェアリング
「見過ごされた声」,発言力の強いメンバーの意見だけが通るチーム文化。PMの池上がインクルーシブミーティング手法を導入し、全員の声を平等に引き出す会議運営を実践。多様な視点が活かされるようになり、より質の高い意思決定が可能になる。,発言力や地位のあるメンバーの意見ばかりが取り上げられ、その他の声が埋もれてしまう状況,インクルーシブミーティング手法
「仮説の検証」,主観的な意見対立で前に進まないプロジェクト。PMの角田がABテスト思考法を導入し、対立する見解を仮説として扱い実証的に検証するアプローチを確立。データに基づく意思決定が促進され、非生産的な議論が減少する。,「私はこう思う」「私の経験では」といった主観的な意見の対立で議論が平行線をたどる状況,ABテスト思考法
「隠れたリスクの発掘」,想定外のリスクで繰り返し足元をすくわれるプロジェクト。PMの三好がプレモータムワークショップを実施し「このプロジェクトはなぜ失敗するか」を先に想像するアプローチを採用。盲点となりやすいリスクが事前に特定され、予防措置を講じることが可能になる。,楽観的なバイアスにより重要なリスクが見過ごされ、問題が発生してから対応する後手に回った対応,プレモータムワークショップ
「成功への障壁を取り除く」,自分たちでは気づかない組織的な障壁に悩むチーム。PMの江口がインピーダンス分析を導入し、理想的な働き方を阻む制約条件や障害要因を特定。障壁が取り除かれることで、チームの能力が最大限に発揮される環境が整う。,組織文化やプロセス、ツールなどが生産性やモチベーションを低下させているが、当事者には見えにくい状況,インピーダンス分析
「ムダの特定と排除」,非効率な活動に多くの時間を費やすプロジェクト。PMの木元がバリューストリーム分析を実施し、価値を生み出す活動と価値を生まない活動を明確に区別。無駄の排除と流れの最適化が実現し、リードタイムが大幅に短縮される。,多くの時間とリソースが付加価値を生まない活動に費やされているが、それが当たり前になっている状況,バリューストリーム分析
「文化の壁を超える」,多国籍チームでのコミュニケーション摩擦。PMの三宅が異文化リテラシーワークショップを開催し、文化的違いへの理解と尊重を促進。異なる文化背景を持つメンバー間の誤解が減少し、多様性を強みに変えるチーム文化が醸成される。,異なる文化的背景を持つメンバー間で、コミュニケーションスタイルや価値観の違いから誤解や摩擦が生じる状況,異文化リテラシー
「二度と起こさないために」,類似した問題が繰り返し発生するプロジェクト環境。PMの服部が根本原因分析と恒久対策プロセスを確立し、症状ではなく原因に対処する文化を醸成。問題の再発が防止され、継続的な改善サイクルが定着する。,同様の問題が繰り返し発生し、その場しのぎの対応が繰り返される状況,根本原因分析と恒久対策
「暗黙知の可視化」,重要なノウハウが特定の個人に依存する状況。PMの野口がナレッジハーベスティング手法を導入し、経験豊富なメンバーの暗黙知を抽出して形式知化。知識が組織資産として共有・活用され、個人依存のリスクが軽減される。,ベテランの頭の中にある知識やコツが共有されておらず、その人がいないと問題解決できない状況,ナレッジハーベスティング
「失敗から学ぶ文化」,失敗を隠す組織文化に課題を感じるPMの浜本。フェイルフォワード原則を導入し、「早く小さく失敗し、そこから学ぶ」という考え方を推進。失敗が学習の機会として前向きに捉えられるようになり、革新的な試みが促進される。,失敗が許されない文化により、チャレンジや革新的な試みが抑制され、問題が隠蔽される状況,フェイルフォワード原則
「選択の迷路」,多すぎる選択肢に意思決定が停滞するプロジェクト。PMの深澤がチョイスアーキテクチャを学び、意思決定の構造とプロセスをデザインする技術を習得。選択肢の整理と枠組み設定により、効率的で質の高い意思決定が可能になる。,選択肢が多すぎて分析麻痺に陥り、決断が遅れたり優柔不断になったりする状況,チョイスアーキテクチャ
「成功の測り方」,「何をもって成功とするか」が曖昧なプロジェクト。PMの宮沢が成功指標マトリクスを導入し、多角的な視点（財務・顧客・プロセス・学習）で成功を定義・測定。バランスの取れた評価が可能になり、真の価値創出につながる方向性が確保される。,売上や納期といった単一の指標だけで成功を測り、他の重要な側面（品質・持続性・学習など）が考慮されない状況,成功指標マトリクス
「実験としてのプロジェクト」,不確実性の高い領域での計画に苦戦するPMの広瀬。仮説・検証型プロジェクトモデルを導入し、固定的な計画からデータに基づく学習と適応のサイクルへと転換。不確実な環境でも着実に価値を生み出せるアプローチが確立される。,前例のない領域で従来型の確定的計画アプローチを取り、実際との乖離に苦しむ状況,仮説・検証型プロジェクトモデル
「決断を支える環境」,意思決定に必要な情報が不足する状況。PMの永井がディシジョンエンバイロメント設計を行い、質の高い決断に必要な情報・プロセス・環境を整備。情報に基づく迅速な意思決定が可能になり、プロジェクトの推進力が向上する。,必要な情報がなく、または情報過多で整理されておらず、質の高い意思決定ができない状況,ディシジョンエンバイロメント設計
「モチベーションの源泉」,内発的動機を引き出せないプロジェクト環境。PMの上原が自己決定理論に基づくモチベーション設計を実施し、「自律性・有能感・関係性」を満たす環境を構築。メンバーの内発的動機が高まり、創造性と熱意が飛躍的に向上する。,外的な報酬や罰則に依存したモチベーション管理により、持続的な熱意や創造性が引き出せない状況,自己決定理論
「ストーリーで伝える」,複雑なプロジェクトの必要性や価値を関係者に伝えきれないPMの多田。ストーリーテリングの技術を習得し、データや論理だけでなく感情に訴える物語形式で伝える方法を実践。共感と理解が深まり、ステークホルダーの支援と参画が促進される。,論理的な説明だけでは関係者の理解や共感を得られず、プロジェクトへの支援や参画が限定的な状況,ストーリーテリング
「考えの可視化」,頭の中のアイデアやつながりを他者と共有できず苦戦するPMの沢田。ビジュアルシンキングツールを導入し、思考やアイデアを視覚的に表現・共有する技術を習得。複雑な概念の理解が促進され、創造的な協働が活性化する。,抽象的な概念や複雑なつながりを言葉だけで伝えきれず、共通理解の構築に苦戦する状況,ビジュアルシンキング
「判断の留保」,結論を急ぎすぎて本質を見失う意思決定プロセス。PMの宇野が判断留保技法を学び、初期の結論に飛びつかず多角的な検討を促す会議ファシリテーションを実践。より深い洞察に基づく質の高い意思決定が可能になり、創造的な解決策が生まれる環境が整う。,結論やアイデアを性急に評価・判断してしまい、十分な検討や創造的なアプローチが阻害される状況,判断留保技法
「記録の設計」,必要な情報がプロジェクト中に見つからない問題。PMの水谷がインフォメーションアーキテクチャを導入し、情報の構造化・分類・アクセス設計を実施。必要な時に必要な情報にスムーズにアクセスできるようになり、意思決定と協働の効率が向上する。,重要な情報や決定事項が散在し、必要な時に見つけられなかったり、存在すら忘れられたりする状況,インフォメーションアーキテクチャ
「共感的理解」,ユーザーの真のニーズを捉えきれないプロダクト開発。PMの河原がエンパシーマップを導入し、ユーザーの行動・思考・感情・言葉を体系的に理解するアプローチを確立。表面的な要求を超えた深い洞察が可能になり、真の価値を提供する製品開発につながる。,ユーザーの表面的な要求や機能仕様に焦点を当て、根底にある真のニーズや課題を理解できていない状況,エンパシーマップ
「未来の探索」,将来の展開を予測できずに計画が揺らぐプロジェクト。PMの小松がホライゾンスキャニング手法を導入し、将来のトレンドや変化の兆候を体系的に探索するプロセスを確立。将来の変化に対する準備が可能になり、戦略的なプロジェクト計画が実現する。,将来の変化や展開を予測できず、短期的視点に基づく計画が環境変化により頻繁に覆される状況,ホライゾンスキャニング
「本質的な改革」,表面的な対策に終始し根本的な改善につながらないプロジェクト。PMの清水がリフレーミングワークショップを実施し、問題の捉え方自体を変革するアプローチを実践。新たな視点から創造的な解決策が生まれ、本質的な変革が可能になる。,既存の枠組みや前提の中でしか問題を捉えられず、本質的な解決や革新的なアプローチが生まれない状況,リフレーミングワークショップ
「時間の確保」,日々の業務に追われ重要課題に取り組めないプロジェクトチーム。PMの田畑がタイムボックス技法と拒否技術を導入し、重要な活動のための時間を守る方法を確立。優先順位の高い取り組みが実行されるようになり、長期的な価値創出が可能になる。,日々の雑務や緊急の対応に追われ、重要だが緊急ではない戦略的な活動に時間を確保できない状況,タイムボックス技法と拒否技術
「学びの速度」,失敗から学ぶサイクルが遅すぎるプロジェクト。PMの荒木がフェイルファストプリンシプルを導入し、早期に小さな失敗を通じて学ぶアプローチを確立。学習サイクルが加速され、革新的なソリューションの開発速度が向上する。,大きな失敗を恐れるあまり検証が遅れ、大量のリソースを投入した後で致命的な問題が発覚する状況,フェイルファストプリンシプル
「課題を超えたゴール」,各メンバーが自分の課題だけに集中し全体最適を見失うチーム。PMの飯田がミッションコマンド原則を導入し、「何をすべきか」だけでなく「なぜそれをするのか」の共有を徹底。戦術的な柔軟性と戦略的な一貫性が両立し、自律的かつ調和のとれたチーム行動が実現する。,細かな指示や課題だけに集中し、全体の目的や意図を見失った機械的な業務遂行がなされる状況,ミッションコマンド原則
「行動科学の応用」,「わかっているけど実行できない」という実行ギャップに悩むプロジェクト。PMの中野が行動デザインフレームワークを導入し、人間の行動特性に基づいたプロセスと環境設計を実施。意図と行動のギャップが解消され、持続的な行動変容が実現する。,理論的には何をすべきかわかっていても、実際の行動や習慣が伴わない実行ギャップがある状況,行動デザインフレームワーク
「無言の前提を明るみに」,暗黙の前提による誤解や方向性の不一致に悩むプロジェクト。PMの川瀬がアサンプション掘り起こしワークショップを実施し、無意識の前提や思い込みを可視化して検証。認識齟齬が減少し、共通理解に基づく効果的な協働が実現する。,各人が異なる前提や思い込みを持ったまま進めるため、後になって「そういう意味ではなかった」という食い違いが表面化する状況,アサンプション掘り起こし
「未熟なプロジェクトの成長」,体系的なプロジェクト管理が確立されていない組織。PMの杉浦がプロジェクト成熟度モデルを導入し、現状評価と段階的な改善パスを設計。組織的なプロジェクト能力が体系的に向上し、成功確率が高まる。,場当たり的なプロジェクト運営が行われ、成功が個人の能力や運に左右される発展途上の組織,プロジェクト成熟度モデル
「改革疲れの克服」,次々と導入される新たな取り組みに疲弊する組織。PMの遠藤が変革キャパシティ分析を実施し、組織の変革吸収能力を評価した上で適切なペースと範囲を設定。持続可能な変革が実現し、疲弊ではなく成長につながる好循環が生まれる。,次々と新しい施策や変革が導入され、消化不良や疲弊感が蔓延している状況,変革キャパシティ分析
「役割の明確化」,「誰が何をするのか」があいまいで進まないチーム。PMの松浦がチャーターと責任マトリクスを作成し、役割・権限・責任の明確化と共有を徹底。責任の所在が明確になり、自発的な行動と円滑な連携が促進される。,役割や責任の所在があいまいなため、必要なタスクが誰にも実行されなかったり、重複して行われたりする状況,チャーターと責任マトリクス
「専門家の孤立」,専門分野の壁に阻まれた協働の困難さ。PMの片山がTシェイプ人材育成を推進し、専門性と共に周辺領域への理解や協働スキルを併せ持つ人材を育成。分野を越えた対話と協力が促進され、複雑な課題に対する総合的な解決力が向上する。,各専門家が自分の専門領域だけを考え、他分野との連携や全体最適の視点が欠けている状況,Tシェイプ人材育成
「意味ある会議」,「会議のための会議」で時間が浪費される組織文化。PMの福井が目的別会議設計を実施し、各会議の明確な目的・期待成果・参加者を再定義。時間の効率的活用が実現し、真に価値を生む対話と意思決定の場が確保される。,習慣的に開催される会議が多く、明確な目的や成果がないまま貴重な時間が消費される状況,目的別会議設計
「失敗の解剖学」,失敗から学べないプロジェクト文化。PMの中西が失敗事後分析法を導入し、非難ではなく事実と教訓の抽出に焦点を当てた振り返りを実施。失敗から貴重な学びを得るプロセスが確立され、同じ失敗の再発防止と組織的成長につながる。,失敗の責任追及や隠蔽に終始し、本質的な原因分析や教訓抽出が行われない状況,失敗事後分析法
「変化への備え」,環境変化への適応に遅れを取るプロジェクト。PMの佐野がシナリオプランニングワークショップを実施し、起こりうる複数の将来シナリオを想定した準備を行う。不確実性への対応力が向上し、環境変化に素早く適応できるレジリエンスが高まる。,予測可能な単一の未来を前提とした計画により、環境変化への対応が後手に回る状況,シナリオプランニング
「経験の共有市場」,個人の経験が組織の知恵にならない状況。PMの高松がナレッジマーケットプレイス構想を実施し、経験と知恵の共有・交換・活用の場を創出。個人知が組織知へと昇華され、集合知を活用した問題解決力が向上する。,個々のメンバーが得た経験や知見が共有されず、同じ失敗の繰り返しや知識の再発明が発生する状況,ナレッジマーケットプレイス
「コンフリクトの変容」,対立や意見の不一致を避ける組織文化。PMの朝倉が生産的コンフリクト手法を導入し、対立を敵対ではなく創造の源泉と捉え活用するアプローチを確立。多様な視点の衝突から革新的な解決策が生まれる文化が醸成される。,対立や意見の不一致が避けられ、表面的な調和が保たれるが、創造的な摩擦や多様な視点の統合が欠ける状況,生産的コンフリクト手法
「顧客価値の探求」,表面的な要件に囚われたプロダクト開発。PMの三島がジョブ・トゥ・ビー・ダン分析を導入し「顧客が達成したい目的」の視点から製品を再定義。真の顧客価値に焦点を当てた開発が可能になり、市場での成功確率が向上する。,機能仕様や技術的な要件に焦点を当て、顧客が本当に達成したい目的や価値が見失われている状況,ジョブ・トゥ・ビー・ダン分析
「思いやりの連鎖」,ストレスフルな環境での人間関係の悪化に悩むチーム。PMの岸田が心理的安全性と思いやり文化の構築に取り組み、互いを尊重し支え合う環境を整備。信頼関係が構築され、オープンなコミュニケーションと協力が促進される。,プレッシャーやストレスにより人間関係が悪化し、互いを責めたり防衛的な姿勢が蔓延する状況,心理的安全性と思いやり文化
「創造的な妥協」,譲れない立場の対立で進まない意思決定。PMの増田がインテグレーティブネゴシエーション手法を学び、対立する立場ではなく根底にある利害と必要性を探るアプローチを実践。双方が価値を見出せる創造的な妥協案が生まれ、協力的な問題解決が実現する。,立場の対立により交渉が行き詰まり、どちらかが譲るか、最低限の妥協しかできない状況,インテグレーティブネゴシエーション
「違いを活かす」,多様性を強みに変えられないチーム。PMの坂口がダイバーシティインクルージョン推進計画を実施し、多様な背景・視点・スキルを活かす環境と文化を構築。包摂的な雰囲気の中で個々の強みが発揮され、イノベーション力と問題解決力が向上する。,表面的な多様性はあるものの、実質的に一部の考え方や背景が優勢となり、多様な視点が活かされない状況,ダイバーシティインクルージョン推進
「流れを作る」,滞りと待ちの多いプロジェクトプロセス。PMの宮崎がフローエフィシェンシー原則を導入し、資源効率から流れ効率への転換を図る。全体のリードタイムが短縮され、価値の迅速な創出と提供が可能になる。,部分最適化により各工程の稼働率は高くても、全体としての流れが滞り、価値の提供が遅れる状況,フローエフィシェンシー原則
「実験から学ぶ」,過度な計画と分析で行動に移せないプロジェクト。PMの富永が実験文化醸成プログラムを実施し、「考えて計画する」から「試して学ぶ」へのマインドセット変革を促進。小さな実験の繰り返しから迅速な学習と適応が可能になり、不確実性の高い環境での成功確率が向上する。,分析と計画に時間を費やしすぎて行動が遅れ、市場変化や機会を逃してしまう状況,実験文化醸成
「自律性の設計」,過度なコントロールで自主性を失うチーム。PMの青山がセルフマネジメントフレームワークを導入し、明確な境界条件の中での自律と責任のバランスを設計。メンバーの当事者意識と創造性が引き出され、効率と革新性を兼ね備えたチーム運営が実現する。,細かな指示と管理によりチームの自律性が失われ、指示待ち文化や受動的な姿勢が蔓延する状況,セルフマネジメントフレームワーク
「未来に向けた学び」,変化する環境に対応するスキルの獲得に苦戦するチーム。PMの松下がフューチャースキルマッピングを実施し、将来必要となるスキルの予測と体系的な学習計画を策定。先手を打った能力開発が可能になり、環境変化への適応力が向上する。,現在のスキルセットに焦点を当てるあまり、将来必要になるスキルの獲得が後手に回る状況,フューチャースキルマッピング
「チャンスの発見」,脅威ばかりに目を向けるリスク管理。PMの山岡がポジティブリスク識別会議を導入し、課題だけでなく機会も体系的に特定・活用するアプローチを確立。守りと攻めのバランスの取れたリスク管理が可能になり、総合的な価値創出につながる。,リスクを脅威としてのみ捉え、機会としての側面や予期せぬ好機の活用が考慮されない状況,ポジティブリスク識別会議
「成長のフィードバック」,一方通行の評価で成長機会を逃すチーム。PMの藤木が360度フィードバックシステムを構築し、多角的な視点からの建設的なフィードバックの流れを創出。盲点が減少し、継続的な成長と相互理解が促進される環境が整う。,上からの一方的な評価だけで、多角的な視点からのフィードバックや成長の機会が限られている状況,360度フィードバック
「実現可能性の検証」,野心的だが現実味のない計画に苦戦するプロジェクト。PMの今井がフィージビリティアセスメントを徹底し、技術・市場・組織各面での実現可能性を客観的に評価するプロセスを確立。現実的な前提に基づく計画が可能になり、実行段階での混乱が減少する。,楽観的すぎる前提や検証されていない仮定に基づく計画により、実行段階で大きな齟齬や問題が発生する状況,フィージビリティアセスメント
「創造的な問題解決」,同じパターンの解決策しか出てこないチーム。PMの野田がクリエイティブ問題解決ワークショップを導入し、発散と収束を意識的に分離した創造的思考プロセスを確立。多様なアイデアが生まれる環境が整い、革新的な解決策の創出確率が向上する。,従来の枠組みや思考パターンの中だけで問題解決を図り、革新的なアプローチが生まれにくい状況,クリエイティブ問題解決ワークショップ
「成果物の品質担保」,リリース後の重大な品質問題に悩まされるプロジェクト。PMの石井が品質ゲートレビューを導入し、段階的な品質評価と基準達成の確認プロセスを確立。初期段階から品質が作り込まれるようになり、修正コストの削減と高い顧客満足度が実現する。,開発の最終段階でまとめてテストするアプローチにより、大量の欠陥が見つかり修正コストが膨大になる状況,品質ゲートレビュー
「柔軟な価値提供」,変わりゆく要件に対応できない固定的な計画。PMの萩原がプログレッシブエラボレーションモデルを導入し、段階的に詳細化していく柔軟な計画アプローチを確立。環境変化や学びに応じた軌道修正が可能になり、真の価値創出につながる開発が実現する。,初期段階で全ての詳細を固定してしまい、環境変化や学びに応じた軌道修正ができない状況,プログレッシブエラボレーション
「過去の罠を避ける」,過去の成功体験に囚われた意思決定に限界を感じるPMの橋口。コグニティブバイアスワークショップを実施し、思考の罠と対策を学ぶ場を創出。バイアスへの意識が高まり、より客観的で質の高い意思決定が可能になる。,過去の成功体験や固定観念に基づく判断により、環境変化に適応できなかったり盲点を見逃したりする状況,コグニティブバイアスワークショップ
「状況に応じたリード」,一律の管理スタイルが通用しない多様なメンバー。PMの竹内が状況的リーダーシップモデルを採用し、メンバーの成熟度や状況に応じてリーダーシップスタイルを変える柔軟性を身につける。個々の能力を最大限に引き出す関わりが可能になり、チーム全体のパフォーマンスと成長が促進される。,全メンバーに対して同じリーダーシップスタイルを適用し、個々の特性や成熟度に応じた適切な関わりができていない状況,状況的リーダーシップ
「マネジメントの境界線」,マイクロマネジメントと放任の間で揺れ動くリーダーシップ。PMの金沢が委任の階段モデルを導入し、段階的に権限を移譲するフレームワークを確立。適切な関与レベルが明確になり、過剰管理と過少管理のバランスが取れた効果的なマネジメントが実現する。,マイクロマネジメントと放任の間で一貫性がなく、適切な関与の度合いがわからずチームが混乱する状況,委任の階段モデル
「プロジェクトの体質改善」,表面的な問題対応に終始する組織文化。PMの池内がシステミック組織開発アプローチを導入し、表面的な症状ではなく根底にある組織の構造やパターンに焦点を当てた変革を実施。持続的な改善が可能になり、本質的な組織能力の向上が実現する。,個別の問題対応に終始し、根底にある組織の構造や文化からのアプローチがなされない状況,システミック組織開発
「共創の場づくり」,縦割りの阻害により横断的な協働が難しい組織。PMの田所がコラボレーティブスペース設計を実施し、物理的・心理的・仮想的な協働の場の創出に取り組む。部門の壁を越えた創造的な対話と協働が活性化し、組織全体の革新力が向上する。,部門間の物理的・心理的な壁により、横断的な協働や創造的な取り組みが阻害されている状況,コラボレーティブスペース設計
「予測不能への準備」,想定外の事態に対応できず混乱するプロジェクト運営。PMの原田がアンティフラジャイル設計原則を学び、単に頑健なだけでなく、混乱や変化から学び強くなるシステムの設計法を習得。不確実性が高い環境でも適応し成長できるプロジェクト体制が構築される。,予測可能な範囲の対策は取れても、想定外の事態に脆く、混乱や機能不全に陥りやすい状況,アンティフラジャイル設計原則
「小さな成功の力」,大きな目標に圧倒されやる気を失うチーム。PMの森がスモールウィンアプローチを導入し、大きな目標を達成可能な小さなステップに分解して可視化。進捗が実感でき、モチベーションと自信が維持されるサイクルが確立される。,遠大な目標設定により成果が見えづらく、チームのモチベーションや持続力が低下する状況,スモールウィンアプローチ
「未来から考える」,現状からの積み上げ発想に限界を感じるプロジェクト計画。PMの関口がバックキャスティング法を導入し、理想の未来から逆算して必要なステップを特定するアプローチを実践。大胆かつ実現可能な変革の道筋が明確になり、真の変革が可能になる。,現在の延長線上でしか考えられず、抜本的な変革や革新的なアプローチが生まれにくい状況,バックキャスティング法
「コスト削減の落とし穴」,短期的なコスト削減が長期的なコスト増を招くジレンマ。PMの篠田がライフサイクルコスト分析を導入し、開発から運用・保守・廃棄までの総コストを考慮した意思決定を実践。短期視点と長期視点のバランスが取れた判断が可能になり、真の意味でのコスト効率が向上する。,目に見える直接コストの削減に焦点を当て、長期的な総所有コストや隠れたコストが考慮されない状況,ライフサイクルコスト分析
「期待値の管理」,関係者の期待と現実のギャップに苦しむプロジェクト。PMの和田が期待値管理マトリクスを導入し、ステークホルダーごとの期待を体系的に把握・調整するプロセスを確立。現実的な期待値が形成され、相互理解に基づく協力的な関係が構築される。,ステークホルダーの期待が非現実的であったり、各関係者間で期待値が異なったりすることによる摩擦や不満,期待値管理マトリクス
